Padrao,Busca,DensidadeRegiao
875,BFS,0.3553417355558567
199,BFS,0.3553417355558567
955,BFS,0.3553417355558567
972,BFS,0.3553417355558567
994,BFS,0.3553417355558567
837,BFS,0.3553417355558567
960,BFS,0.3553417355558567
1,BFS,0.36849419558425545
12,BFS,0.36849419558425545
22,BFS,0.36849419558425545
34,BFS,0.36849419558425545
38,BFS,0.36849419558425545
46,BFS,0.36849419558425545
65,BFS,0.36849419558425545
73,BFS,0.36849419558425545
79,BFS,0.36849419558425545
89,BFS,0.36849419558425545
96,BFS,0.36849419558425545
102,BFS,0.36849419558425545
112,BFS,0.36849419558425545
115,BFS,0.36849419558425545
116,BFS,0.36849419558425545
119,BFS,0.36849419558425545
121,BFS,0.36849419558425545
135,BFS,0.36849419558425545
147,BFS,0.36849419558425545
158,BFS,0.36849419558425545
163,BFS,0.36849419558425545
165,BFS,0.36849419558425545
172,BFS,0.36849419558425545
177,BFS,0.36849419558425545
178,BFS,0.36849419558425545
183,BFS,0.36849419558425545
186,BFS,0.36849419558425545
187,BFS,0.36849419558425545
205,BFS,0.36849419558425545
216,BFS,0.36849419558425545
224,BFS,0.36849419558425545
243,BFS,0.36849419558425545
259,BFS,0.36849419558425545
276,BFS,0.36849419558425545
300,BFS,0.36849419558425545
303,BFS,0.36849419558425545
317,BFS,0.36849419558425545
327,BFS,0.36849419558425545
368,BFS,0.36849419558425545
377,BFS,0.36849419558425545
378,BFS,0.36849419558425545
386,BFS,0.36849419558425545
395,BFS,0.36849419558425545
413,BFS,0.36849419558425545
428,BFS,0.36849419558425545
450,BFS,0.36849419558425545
467,BFS,0.36849419558425545
470,BFS,0.36849419558425545
485,BFS,0.36849419558425545
499,BFS,0.36849419558425545
501,BFS,0.36849419558425545
506,BFS,0.36849419558425545
508,BFS,0.36849419558425545
531,BFS,0.36849419558425545
540,BFS,0.36849419558425545
558,BFS,0.36849419558425545
570,BFS,0.36849419558425545
573,BFS,0.36849419558425545
585,BFS,0.36849419558425545
591,BFS,0.36849419558425545
596,BFS,0.36849419558425545
605,BFS,0.36849419558425545
611,BFS,0.36849419558425545
613,BFS,0.36849419558425545
614,BFS,0.36849419558425545
616,BFS,0.36849419558425545
627,BFS,0.36849419558425545
641,BFS,0.36849419558425545
643,BFS,0.36849419558425545
644,BFS,0.36849419558425545
675,BFS,0.36849419558425545
695,BFS,0.36849419558425545
696,BFS,0.36849419558425545
697,BFS,0.36849419558425545
706,BFS,0.36849419558425545
723,BFS,0.36849419558425545
729,BFS,0.36849419558425545
734,BFS,0.36849419558425545
743,BFS,0.36849419558425545
749,BFS,0.36849419558425545
771,BFS,0.36849419558425545
774,BFS,0.36849419558425545
779,BFS,0.36849419558425545
784,BFS,0.36849419558425545
786,BFS,0.36849419558425545
787,BFS,0.36849419558425545
804,BFS,0.36849419558425545
840,BFS,0.36849419558425545
854,BFS,0.36849419558425545
855,BFS,0.36849419558425545
864,BFS,0.36849419558425545
874,BFS,0.36849419558425545
877,BFS,0.36849419558425545
887,BFS,0.36849419558425545
904,BFS,0.36849419558425545
905,BFS,0.36849419558425545
915,BFS,0.36849419558425545
943,BFS,0.36849419558425545
946,BFS,0.36849419558425545
951,BFS,0.36849419558425545
958,BFS,0.36849419558425545
959,BFS,0.36849419558425545
961,BFS,0.36849419558425545
968,BFS,0.36849419558425545
981,BFS,0.36849419558425545
984,BFS,0.36849419558425545
988,BFS,0.36849419558425545
3,BFS,0.36849419558425545
14,BFS,0.36849419558425545
21,BFS,0.36849419558425545
55,BFS,0.36849419558425545
61,BFS,0.36849419558425545
85,BFS,0.36849419558425545
95,BFS,0.36849419558425545
97,BFS,0.36849419558425545
99,BFS,0.36849419558425545
111,BFS,0.36849419558425545
117,BFS,0.36849419558425545
127,BFS,0.36849419558425545
133,BFS,0.36849419558425545
145,BFS,0.36849419558425545
151,BFS,0.36849419558425545
166,BFS,0.36849419558425545
167,BFS,0.36849419558425545
171,BFS,0.36849419558425545
181,BFS,0.36849419558425545
198,BFS,0.36849419558425545
201,BFS,0.36849419558425545
210,BFS,0.36849419558425545
214,BFS,0.36849419558425545
221,BFS,0.36849419558425545
225,BFS,0.36849419558425545
229,BFS,0.36849419558425545
236,BFS,0.36849419558425545
237,BFS,0.36849419558425545
249,BFS,0.36849419558425545
255,BFS,0.36849419558425545
257,BFS,0.36849419558425545
270,BFS,0.36849419558425545
274,BFS,0.36849419558425545
275,BFS,0.36849419558425545
283,BFS,0.36849419558425545
287,BFS,0.36849419558425545
309,BFS,0.36849419558425545
310,BFS,0.36849419558425545
314,BFS,0.36849419558425545
315,BFS,0.36849419558425545
328,BFS,0.36849419558425545
364,BFS,0.36849419558425545
371,BFS,0.36849419558425545
375,BFS,0.36849419558425545
399,BFS,0.36849419558425545
400,BFS,0.36849419558425545
411,BFS,0.36849419558425545
414,BFS,0.36849419558425545
433,BFS,0.36849419558425545
441,BFS,0.36849419558425545
457,BFS,0.36849419558425545
458,BFS,0.36849419558425545
468,BFS,0.36849419558425545
477,BFS,0.36849419558425545
484,BFS,0.36849419558425545
492,BFS,0.36849419558425545
498,BFS,0.36849419558425545
514,BFS,0.36849419558425545
518,BFS,0.36849419558425545
519,BFS,0.36849419558425545
526,BFS,0.36849419558425545
543,BFS,0.36849419558425545
544,BFS,0.36849419558425545
545,BFS,0.36849419558425545
550,BFS,0.36849419558425545
551,BFS,0.36849419558425545
563,BFS,0.36849419558425545
566,BFS,0.36849419558425545
598,BFS,0.36849419558425545
617,BFS,0.36849419558425545
621,BFS,0.36849419558425545
